CHARGE_PROFILE_UNIQUE_ID,LOAD_DATA_TS,PRODUCT_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"937552747","","2"<endrec>
"937552754","","2"<endrec>
"937552762","","2"<endrec>
"937555739","","2"<endrec>
"937555740","","2"<endrec>
"937555741","","2"<endrec>
"937555748","","2"<endrec>
"937555750","","2"<endrec>
"937556726","","2"<endrec>
"937558732","","2"<endrec>
"937558733","","2"<endrec>
"937558738","","2"<endrec>
"937560725","","2"<endrec>
"937560726","","2"<endrec>
"937561726","","2"<endrec>
"937561729","","2"<endrec>
"937566758","","2"<endrec>
"937566867","","2"<endrec>
"937566868","","2"<endrec>
"937566869","","2"<endrec>
"937567762","","2"<endrec>
"937567763","","2"<endrec>
"937569747","","2"<endrec>
"937569749","","2"<endrec>
"937569752","","2"<endrec>
"937569753","","2"<endrec>
"937572765","","10001019"<endrec>
"937572766","","10001018"<endrec>
"937572771","","10001019"<endrec>
"937572772","","10001019"<endrec>
"937572773","","10001018"<endrec>
"937574773","","2"<endrec>
"937583860","","10000202"<endrec>
"937583878","","2"<endrec>
"937583883","","10000202"<endrec>
"937583888","","10001030"<endrec>
"937585761","","2"<endrec>
"937585813","","10001030"<endrec>
"937585814","","10001019"<endrec>
"937585827","","10001030"<endrec>
"937585830","","2"<endrec>
"937585840","","2"<endrec>
"937585841","","2"<endrec>
"937585842","","2"<endrec>
"937594832","","10001019"<endrec>
"937619863","","10000202"<endrec>
"937641818","","2"<endrec>
"937641827","","2"<endrec>
"937641830","","2"<endrec>
"937641885","","2"<endrec>
"937641886","","2"<endrec>
"937641887","","2"<endrec>
"937646788","","10001030"<endrec>
"937664856","","2"<endrec>
"937664982","","2"<endrec>
"937664983","","2"<endrec>
"937664986","","2"<endrec>
"937665005","","2"<endrec>
"937665008","","2"<endrec>
"937665075","","2"<endrec>
"937665076","","2"<endrec>
"937683764","","2"<endrec>
