EQUAL_TARGET,EQUAL_VALUE,EXPR_VALUE,INVALID_ERROR_CODE,MAX_LENGTH,MAX_VALUE,MIN_LENGTH,MIN_VALUE,PARA_ID,TIME_FORMAT,VALIDATOR_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"","","","","","","","","100084781","",""<endrec>
"","","","","","","","","100084782","",""<endrec>
"","","","","","","","","100084783","",""<endrec>
"","","","","","","","","100084789","",""<endrec>
"","","","","","","","","100084790","",""<endrec>
"","","","","","","","","100084791","",""<endrec>
"","","","","","","","","100084792","",""<endrec>
"","","","","","","","","100084793","",""<endrec>
"","","","","","","","","100084794","",""<endrec>
"","","","","","","","","100084872","",""<endrec>
"","","","","","","","","100085071","",""<endrec>
"","","","","","","","","100085072","",""<endrec>
"","","","","","","","","100085073","",""<endrec>
"","","","","","","","","100085074","",""<endrec>
"","","","","","","","","100085075","",""<endrec>
"","","","","","","","","100085076","",""<endrec>
"","","","","","","","","100085077","",""<endrec>
"","","","","","","","","100085078","",""<endrec>
"","","","","","","","","100085081","",""<endrec>
"","","","","","","","","100085082","",""<endrec>
"","","","","","","","","100085088","",""<endrec>
"","","","","","","","","100085089","",""<endrec>
"","","","","","","","","100085090","",""<endrec>
"","","","","","","","","100085091","",""<endrec>
"","","","","","","","","100085098","",""<endrec>
"","","","","","","","","100085099","",""<endrec>
"","","","","","","","","100085104","",""<endrec>
"","","","","","","","","100085105","",""<endrec>
"","","","","","","","","100085106","",""<endrec>
"","","","","","","","","100085107","",""<endrec>
"","","","","","","","","100085108","",""<endrec>
"","","","","","","","","100085109","",""<endrec>
"","","","","","","","","100085110","",""<endrec>
"","","","","","","","","100085111","",""<endrec>
"","","","","","","","","100085112","",""<endrec>
"","","","","","","","","100085113","",""<endrec>
"","","","","","","","","100085115","",""<endrec>
"","","","","","","","","100085117","",""<endrec>
"","","","","","","","","100085118","",""<endrec>
"","","","","22","","","","100085119","",""<endrec>
"","","","","","","","","100085171","",""<endrec>
"","","","","","","","","100085172","",""<endrec>
"","","","","","","","","100085173","",""<endrec>
"","","","","","","","","100085174","",""<endrec>
"","","","","","","","","100085377","",""<endrec>
"","","","","","","","","100085378","",""<endrec>
"","","","","","","","","100085381","",""<endrec>
"","","","","","","","","100085382","",""<endrec>
"","","","","","","","","100085387","",""<endrec>
"","","","","","","","","100085388","",""<endrec>
"","","","","","","","","100085389","",""<endrec>
"","","","","","","","","100085390","",""<endrec>
"","","","","","","","","100085391","",""<endrec>
"","","","","","","","","100085392","",""<endrec>
"","","","","","","","","100085393","",""<endrec>
"","","","","","","","","100085394","",""<endrec>
"","","","","","","","","100085395","",""<endrec>
"","","","","","","","","100085396","",""<endrec>
"","","","","","","","","100085397","",""<endrec>
"","","","","","","","","100085398","",""<endrec>
"","","","","","","","","100085399","",""<endrec>
"","","","","","","","","100085400","",""<endrec>
"","","","","","","","","100085401","",""<endrec>
"","","","","","","","","100085402","",""<endrec>
"","","","","","","","","100085403","",""<endrec>
"","","","","","","","","100085404","",""<endrec>
"","","","","","","","","100085405","",""<endrec>
"","","","","","","","","100085408","",""<endrec>
"","","","","","","","","100085409","",""<endrec>
"","","","","","","","","100085410","",""<endrec>
"","","","","","","","","100085411","",""<endrec>
"","","","","","","","","100085412","",""<endrec>
"","","","","","","","","100085413","",""<endrec>
"","","","","","","","","100085414","",""<endrec>
"","","","","","","","","100085415","",""<endrec>
"","","","","","","","","100085416","",""<endrec>
"","","","","","","","","100085417","",""<endrec>
"","","","","","","","","100085418","",""<endrec>
"","","","","","","","","100085422","",""<endrec>
"","","","","","","","","100085423","",""<endrec>
"","","","","","","","","100085424","",""<endrec>
"","","[\d]*","","18","","0","","100085425","","Reg"<endrec>
"","","[\d]*","","18","","0","","100085426","","Reg"<endrec>
"","","[\d]*","","18","","0","","100085427","","Reg"<endrec>
"","","","","","","","","100085428","",""<endrec>
"","","","","","","","","100085429","",""<endrec>
"","","","","","","","","100085430","",""<endrec>
"","","","","","","","","100085431","",""<endrec>
"","","","","","","","","100085432","",""<endrec>
"","","","","","","","","100085433","",""<endrec>
"","","","","","","","","100085434","",""<endrec>
"","","","","","","","","100085435","",""<endrec>
"","","","","","","","","100085436","",""<endrec>
"","","","","","","","","100085437","",""<endrec>
"","","","","","","","","100085438","",""<endrec>
"","","","","","","","","100085439","",""<endrec>
"","","","","","","","","100085440","",""<endrec>
"","","","","","","","","100085441","",""<endrec>
"","","^(\+)?(([1-9]\d*)(\.\d+)?)|([0](\.[1-9]\d*))$","","","","","","100085442","","Reg"<endrec>
"","","","","","","","","100085443","",""<endrec>
"","","","","","","","","100085444","",""<endrec>
"","","","","","","","","100085445","",""<endrec>
"","","","","","","","","100085450","",""<endrec>
"","","","","","","","","100085451","",""<endrec>
"","","","","","","","","100085452","",""<endrec>
"","","","","","","","","100085453","",""<endrec>
"","","","","","","","","100085571","",""<endrec>
"","","","","","","","","100085572","",""<endrec>
"","","","","","","","","100085776","",""<endrec>
"","","","","","","","","100085777","",""<endrec>
"","","","","","","","","100085778","",""<endrec>
"","","","","","","","","100085779","",""<endrec>
"","","","","","","","","100085780","",""<endrec>
"","","","","","","","","100085781","",""<endrec>
"","","","","","","","","100085782","",""<endrec>
"","","","","","","","","100085783","",""<endrec>
"","","","","","","","","100085784","",""<endrec>
"","","","","","","","","100085785","",""<endrec>
"","","","","","","","","100085786","",""<endrec>
"","","","","","","","","100085787","",""<endrec>
"","","","","","","","","100085788","",""<endrec>
"","","","","","","","","100085892","",""<endrec>
"","","","","","","","","100085893","",""<endrec>
"","","","","","","","","100085894","",""<endrec>
"","","","","","","","","100085895","",""<endrec>
"","","","","","","","","100085896","",""<endrec>
"","","","","","","","","100085897","",""<endrec>
"","","","","","","","","100085898","",""<endrec>
"","","","","","","","","100085899","",""<endrec>
"","","","","","","","","100085900","",""<endrec>
"","","","","","","","","100085901","",""<endrec>
"","","","","","","","","100085902","",""<endrec>
"","","","","","","","","100085903","",""<endrec>
"","","","","","","","","100085904","",""<endrec>
"","","","","","","","","100085905","",""<endrec>
"","","","","","","","","100085906","",""<endrec>
"","","","","","","","","100085907","",""<endrec>
"","","^(\+)?(([1-9]\d*)(\.\d+)?)|([0](\.[1-9]\d*))$","","","","","","100085908","","Reg"<endrec>
"","","","","","","","","100085909","",""<endrec>
"","","","","","","","","100085911","",""<endrec>
"","","","","","","","","100085912","",""<endrec>
"","","","","","","","","100085913","",""<endrec>
"","","","","","","","","100085914","",""<endrec>
"","","","","","","","","100085971","",""<endrec>
"","","","","","","","","100085972","",""<endrec>
"","","","","","","","","100085973","",""<endrec>
"","","","","","","","","100085974","",""<endrec>
"","","","","","","","","100085975","",""<endrec>
"","","","","","","","","100085976","",""<endrec>
"","","","","","","","","100085977","",""<endrec>
"","","","","","","","","100085978","",""<endrec>
"","","","","","","","","100085979","",""<endrec>
"","","","","","","","","100085980","",""<endrec>
"","","","","","","","","100085982","",""<endrec>
"","","","","","","","","100085983","",""<endrec>
"","","","","","","","","100085984","",""<endrec>
"","","","","","","","","100085986","",""<endrec>
"","","","","","","","","100085987","",""<endrec>
"","","","","","","","","100085988","",""<endrec>
"","","^(\+)?(([1-9]\d*)(\.\d+)?)|([0](\.[1-9]\d*))$","","","","","","100085989","","Reg"<endrec>
"","","","","","","","","100085990","",""<endrec>
"","","","","","","","","100085991","",""<endrec>
"","","","","","","","","100085992","",""<endrec>
"","","","","","","","","100085993","",""<endrec>
"","","","","","","","","100086074","",""<endrec>
"","","","","","","","","100086075","",""<endrec>
"","","","","","","","","100086371","",""<endrec>
"","","","","","","","","100086372","",""<endrec>
"","","","","","","","","100086373","",""<endrec>
"","","^(\+)?(([1-9]\d*)(\.\d+)?)|([0](\.[1-9]\d*))$","","","","","","100086376","","Reg"<endrec>
