DEFAULT_VALUE,LANGUAGE,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"cash in at agent","en","Transaction.Reasontype.Alias"<endrec>
"VDF","en","Transaction.Receiver.FirstName"<endrec>
"50000.00","en","Transaction.Receiver.IdentityAccountBalance"<endrec>
"13612345678","en","Transaction.Receiver.IdentityMSISDN"<endrec>
"VDF Ltd.","en","Transaction.Receiver.IdentityName"<endrec>
"frozen","en","Transaction.Receiver.IdentityStatus"<endrec>
"ltd","en","Transaction.Receiver.LastName"<endrec>
"1234","en","Transaction.Receiver.MSISDNLast4Digits"<endrec>
"13025110323","en","Transaction.RechargedMSISDN"<endrec>
"5.00","en","Transaction.Remark"<endrec>
"OTC Customer","en","Transaction.Requester.FirstName"<endrec>
"13644905457","en","Transaction.Requester.IdentityMSISDN"<endrec>
"VDF Ltd.","en","Transaction.Requester.IdentityName"<endrec>
"VDF","en","Transaction.Requester.LastName"<endrec>
"1000.00 USD","en","Transaction.ReverseAmount"<endrec>
"Cash in","en","Transaction.ServiceName"<endrec>
"8613512345678","en","Transaction.TargetMsisdn"<endrec>
"Bill Number Error","en","Transaction.ThirdPartyFailureDescription"<endrec>
"100000.00","en","Transaction.ThirdPointRedeemedBalance"<endrec>
"100","en","Transaction.TransactionAmount"<endrec>
"14","en","Transaction.UnclaimedExpiredTime"<endrec>
"6789","en","Transaction.VerificationCode"<endrec>
"0","en","Transaction.Voucher.Amount"<endrec>
"31/03/2013","en","Transaction.Voucher.ExpireDate"<endrec>
"14","en","Transaction.Voucher.ExpireTime"<endrec>
