ACCESS_CHANNEL,CATEGORY,ERROR_CODE,FUNCTION_ID,IS_INSTANTLY,NOTIFICATION_RULE_ID,NOTIFICATION_TYPE,RECEIVING_CHANNEL,RECIPIENT_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"1002","0","TC70031","-1","1","113190","107000000000017039","1001","01"<endrec>
"1002","0","TC70029","-1","1","113191","107000000000002106","1001","01"<endrec>
"1002","0","TC70076","-1","1","114192","107000000000017040","1001","01"<endrec>
"1002","0","TC70075","-1","1","114193","107000000000018032","1001","01"<endrec>
"1002","0","TC70046","-1","1","114194","107000000000018033","1001","01"<endrec>
"1002","0","TC70027","-1","1","114195","107000000000018034","1001","01"<endrec>
"1002","0","TC70070","-1","1","114196","107000000000002117","1001","01"<endrec>
"1002","0","TC70041","-1","1","114197","107000000000002121","1001","01"<endrec>
"1002","0","TC70002","-1","1","114198","107000000000018035","1001","01"<endrec>
"1002","0","TC70014","-1","1","114199","107000000000018036","1011","01"<endrec>
"1002","0","TC70082","-1","1","114200","107000000000018037","1001","01"<endrec>
"1002","0","TC70019","-1","1","114201","107000000000018038","1001","01"<endrec>
"1002","0","TC70018","-1","1","114202","107000000000018039","1001","01"<endrec>
"1002","0","TC70020","-1","1","114203","107000000000018040","1001","01"<endrec>
"1002","0","TC70021","-1","1","114204","107000000000018041","1001","01"<endrec>
"1002","0","TC70072","-1","1","114205","107000000000018042","1001","01"<endrec>
"1002","0","TC70008","-1","1","114206","107000000000018043","1001","01"<endrec>
"1002","0","TC70004","-1","1","114207","107000000000002127","1001","01"<endrec>
"1002","0","TC70006","-1","1","114208","107000000000018044","1001","01"<endrec>
"1002","0","TC70034","-1","1","114209","107000000000018045","1001","01"<endrec>
"1002","0","TC70033","-1","1","114210","107000000000002088","1001","01"<endrec>
"1002","0","TC70026","-1","1","114211","107000000000018046","1001","01"<endrec>
