IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","208000000000021246","CustomerCancelCard","9999","01","0"<endrec>
"1","103010700000001338","CustomerGetStartPIN","9999","01","0"<endrec>
"1","208000000000021238","CustomerRegisterCard","9999","01","0"<endrec>
"1","208000000000021239","CustomerRegisterCard","9999","06","0"<endrec>
"1","208000000000033248","DeleteCustomerBeneficiary","9999","01","0"<endrec>
"1","208000000000033248","DeleteCustomerBeneficiary","9999","02","0"<endrec>
"1","103010700000001416","DeleteCustomerFF","9999","01","0"<endrec>
"1","103010700000001416","DeleteCustomerFF","9999","02","0"<endrec>
"1","208000000000034241","DeleteGroupBeneficiary","9999","01","0"<endrec>
"1","208000000000034241","DeleteGroupBeneficiary","9999","02","0"<endrec>
"1","208000000000019239","DeleteGroupReminderSchedule","0000","02","0"<endrec>
"1","208000000000019239","DeleteGroupReminderSchedule","0000","7000","500000000000011802"<endrec>
"1","208000000000019239","DeleteGroupReminderSchedule","0000","7000","500000000000012204"<endrec>
"1","208000000000056241","DeleteIdentityBankAccount","0000","01","0"<endrec>
"1","208000000000056241","DeleteIdentityBankAccount","0000","02","0"<endrec>
"1","208000000000019239","DeleteIndividualReminderSchedule","9999","01","0"<endrec>
"1","208000000000019239","DeleteIndividualReminderSchedule","9999","02","0"<endrec>
"1","208000000000019239","DeleteIndividualReminderSchedule","9999","06","0"<endrec>
"1","208000000000033249","DeleteOrgBeneficiary","9999","01","0"<endrec>
"1","208000000000088239","DeletePrefContact","9999","01","0"<endrec>
"1","208000000000087239","DeletePrefContact","9999","02","0"<endrec>
"1","107000000000001027","DormantCustRefund","0000","02","0"<endrec>
"1","208000000000017238","EditCustomerDirectDebitMandateByPayer","9999","01","0"<endrec>
"1","208000000000017238","EditCustomerDirectDebitMandateByPayer","9999","49","0"<endrec>
"1","208000000000017238","EditCustomerDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","208000000000017238","EditGroupDirectDebitMandateByPayer","9999","01","0"<endrec>
"1","208000000000017238","EditGroupDirectDebitMandateByPayer","9999","02","0"<endrec>
"1","208000000000021248","EditGroupDirectDebitMandateByPayer","9999","49","0"<endrec>
"1","208000000000021248","EditGroupDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayee","9999","01","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayee","9999","02","0"<endrec>
"1","208000000000088242","EditOrgDirectDebitMandateByPayee","9999","49","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayee","9999","50","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayer","9999","01","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayer","9999","02","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayer","9999","49","0"<endrec>
"1","208000000000017238","EditOrgDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","102000000000000017","FirstLogin","0000","01","0"<endrec>
"1","208000000000021239","GroupActivateCard","0000","7000","500000000000011802"<endrec>
"1","208000000000021239","GroupActivateCard","9999","01","0"<endrec>
"1","208000000000021239","GroupActivateCard","9999","02","0"<endrec>
"1","208000000000021246","GroupCancelCard","9999","01","0"<endrec>
"1","208000000000021246","GroupCancelCard","9999","02","0"<endrec>
"1","208000000000021246","GroupCancelCard","9999","7000","500000000000011802"<endrec>
"1","208000000000021239","GroupRegisterCard","0000","01","0"<endrec>
"1","102000000000000012","LockSPOperatorPassword","0000","02","0"<endrec>
"1","208000000000075238","LookupBeneficiary","0000","02","0"<endrec>
"1","208000000000075238","LookupBeneficiary","0000","06","0"<endrec>
"1","208000000000075238","LookupBeneficiary","9999","01","0"<endrec>
"1","103010700000001415","ModifyCustomerFF","9999","01","0"<endrec>
"1","103010700000001415","ModifyCustomerFF","9999","02","0"<endrec>
"1","102000000000000006","OperatorForgotPassword","0000","01","0"<endrec>
"1","208000000000021239","OrgActivateCard","9999","01","0"<endrec>
"1","208000000000021239","OrgActivateCard","9999","02","0"<endrec>
"1","208000000000021246","OrgCancelCard","0000","02","0"<endrec>
"1","208000000000021246","OrgCancelCard","9999","01","0"<endrec>
"1","208000000000021239","OrgRegisterCard","9999","01","0"<endrec>
"1","103000000000000236","PushCustActivationMenu","1001","02","0"<endrec>
"1","103000000000000236","PushOrgOperatorActivationMenu","1001","02","0"<endrec>
"1","208000000000105238","QueryCustomerBundleDetails","9999","01","0"<endrec>
"1","208000000000106238","QueryCustomerBundleList","9999","01","0"<endrec>
"1","208000000000102243","QueryCustomerFF","9999","01","0"<endrec>
"1","208000000000102243","QueryCustomerFF","9999","02","0"<endrec>
"1","208000000000105238","QueryCustomerIdentityBundleDetails","9999","01","0"<endrec>
"1","208000000000106238","QueryCustomerIdentityBundleList","9999","01","0"<endrec>
"1","208000000000040239","QueryGroupList","9999","01","0"<endrec>
"1","103010700000001413","QueryGroupTransactions","9999","01","0"<endrec>
"1","208000000000061240","QueryIdentityBankAccount","9999","02","0"<endrec>
"1","208000000000106238","QueryIdentityBundleList","9999","01","0"<endrec>
"1","208000000000034243","QueryIndividualReminderSchedule","9999","01","0"<endrec>
"1","208000000000070238","QueryIndividualReminderScheduleDetails","0000","01","0"<endrec>
"1","208000000000034243","QueryIndividualReminderScheduleDetails","1001","01","0"<endrec>
"1","208000000000061240","QueryOrganizationStatement","0000","01","0"<endrec>
"1","208000000000061240","QueryOrganizationStatement","0000","02","0"<endrec>
"1","208000000000102243","QueryPrefContact","9999","01","0"<endrec>
"1","208000000000021248","ReactivateCustomerDirectDebitMandateByPayer","9999","49","0"<endrec>
"1","208000000000052238","ReactivateDirectDebitMandatebyPayee","0000","01","0"<endrec>
"1","208000000000052238","ReactivateDirectDebitMandatebyPayee","9999","49","0"<endrec>
"1","208000000000052238","ReactivateDirectDebitMandatebyPayee","9999","50","0"<endrec>
"1","208000000000021248","ReactivateGroupDirectDebitMandateByPayer","9999","01","0"<endrec>
"1","208000000000021248","ReactivateGroupDirectDebitMandateByPayer","9999","02","0"<endrec>
"1","208000000000021248","ReactivateGroupDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","208000000000021248","ReactivateOrgDirectDebitMandateByPayee","9999","49","0"<endrec>
"1","208000000000021248","ReactivateOrgDirectDebitMandateByPayee","9999","50","0"<endrec>
"1","208000000000052238","ReactivateOrgDirectDebitMandateByPayer","9999","01","0"<endrec>
"1","208000000000021248","ReactivateOrgDirectDebitMandateByPayer","9999","49","0"<endrec>
"1","208000000000052238","ReactivateOrgDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","208000000000101238","ReactiveOrgFSILink","9999","01","0"<endrec>
"1","208000000000101238","ReactiveOrgFSILink","9999","02","0"<endrec>
"1","208000000000033240","RecycleMSISDN","0000","02","0"<endrec>
"1","208000000000033240","RecycleMSISDN","0000","02.DEVICE.OLD","0"<endrec>
"1","208000000000033240","RecycleMSISDN","0000","0201","0"<endrec>
"1","208000000000021238","RegisterCard4Customer","0000","01","0"<endrec>
"1","208000000000021238","RegisterCard4Customer","0000","06","0"<endrec>
"1","208000000000021238","RegisterCard4Customer","9999","02","0"<endrec>
"1","208000000000021238","RegisterCard4Group","0000","01","0"<endrec>
"1","208000000000021238","RegisterCard4Group","0000","02","0"<endrec>
"1","208000000000021238","RegisterCard4Group","0000","7000","500000000000011802"<endrec>
"1","208000000000021238","RegisterCard4Group","0000","7000","500000000000012204"<endrec>
"1","208000000000021238","RegisterCard4Org","9999","02","0"<endrec>
"1","208000000000040240","RemoveGroupMember","9999","0","0"<endrec>
"1","208000000000040240","RemoveGroupMember","9999","01","0"<endrec>
"1","208000000000040240","RemoveGroupMember","9999","7000","500000000000011802"<endrec>
"1","107000000000001028","ResetCustPIN","9999","02","0"<endrec>
"1","102000000000000005","ResetCustPINBySelf","0000","02","0"<endrec>
"1","102000000000000010","ResetCustSecretWord","0000","02","0"<endrec>
"1","107000000000001029","ResetOrgOperatorPIN","0000","02","0"<endrec>
"1","107000000000001029","ResetOrgOperatorPIN","9999","01","0"<endrec>
"1","107000000000063039","ResetOrgOperatorPassword","9999","02","0"<endrec>
"1","102000000000000084","ResetOrgOperatorSecretWord","0000","02","0"<endrec>
"1","107000000000024032","ResetSIM","1001","01","0"<endrec>
"1","102000000000000006","ResetSPOperatorPassword","0000","01","0"<endrec>
"1","102000000000000006","ResetSPOperatorPassword","9999","02","0"<endrec>
